Trial0,Walkers,Miners,Builders,Yellers,Gold Collected,Gold Lost,Gold Missed,Dead Dwarves,Score, Ticks,Productivity,
Experiment 0,0,0,0,0,0,0,168,0,0,0,Miner
Experiment 1,60,30,0,0,35,5,119,76,66900,542,Miner
Experiment 2,60,60,0,0,48,11,103,95,92750,561,Miner
Experiment 3,60,300,0,0,44,2,103,229,35850,510,Miner
Experiment 4,225,225,0,0,82,19,44,363,100450,554,Miner
Experiment 5,0,225,45,0,0,0,155,53,-70300,797,Miner
Experiment 6,0,225,0,75,25,27,98,214,-60500,557,Yeller
Experiment 7,750,750,0,0,89,23,43,1154,-106400,514,Miner
Experiment 8,0,750,150,0,0,0,161,192,-239700,690,Miner
Experiment 9,0,750,0,250,35,52,70,681,-313350,1501,Miner
Experiment 10,30,30,6,10,35,6,105,47,61800,478,Miner
Experiment 11,225,225,45,75,102,22,47,354,81750,1501,Miner
Experiment 12,750,750,150,250,107,41,4,1080,-268250,1501,Walker
Experiment 13,225,300,12,25,84,30,52,288,108550,510,Miner
Experiment 14,75,300,45,75,105,23,39,223,122500,1501,Miner
Experiment 15,150,225,24,10,85,27,54,200,140650,620,Miner
Trial1,Walkers,Miners,Builders,Yellers,Gold Collected,Gold Lost,Gold Missed,Dead Dwarves,Score, Ticks,Productivity,
Experiment 0,0,0,0,0,0,0,159,0,0,0,Miner
Experiment 1,60,30,0,0,53,9,109,70,113800,546,Walker
Experiment 2,60,60,0,0,37,6,112,93,65850,559,Walker
Experiment 3,60,300,0,0,83,2,82,232,132200,499,Walker
Experiment 4,225,225,0,0,74,23,69,343,87450,540,Miner
Experiment 5,0,225,45,0,0,0,171,70,-76250,707,Miner
Experiment 6,0,225,0,75,15,34,120,210,-84750,565,Miner
Experiment 7,750,750,0,0,80,41,36,1190,-141600,467,Walker
Experiment 8,0,750,150,0,0,0,150,199,-242150,654,Miner
Experiment 9,0,750,0,250,25,65,60,687,-340450,1501,Miner
Experiment 10,30,30,6,10,39,2,104,58,70150,627,Walker
Experiment 11,225,225,45,75,99,36,1,327,81750,1501,Walker
Experiment 12,750,750,150,250,113,46,12,1080,-259050,1501,Walker
Experiment 13,225,300,12,25,115,27,42,421,142450,1501,Yeller
Experiment 14,75,300,45,75,81,33,41,177,81050,1501,Yeller
Experiment 15,150,225,24,10,97,14,46,209,167500,515,Miner
Trial2,Walkers,Miners,Builders,Yellers,Gold Collected,Gold Lost,Gold Missed,Dead Dwarves,Score, Ticks,Productivity,
Experiment 0,0,0,0,0,0,0,146,0,0,0,Miner
Experiment 1,60,30,0,0,42,5,103,72,85600,600,Miner
Experiment 2,60,60,0,0,18,11,120,96,17400,686,Miner
Experiment 3,60,300,0,0,41,13,114,237,25550,562,Miner
Experiment 4,225,225,0,0,94,19,53,351,134650,567,Miner
Experiment 5,0,225,45,0,0,0,131,51,-69600,619,Miner
Experiment 6,0,225,0,75,20,57,86,213,-73300,495,Miner
Experiment 7,750,750,0,0,53,39,62,1180,-205500,493,Miner
Experiment 8,0,750,150,0,0,0,140,160,-228500,691,Miner
Experiment 9,0,750,0,250,25,61,60,699,-344650,617,Miner
Experiment 10,30,30,6,10,19,10,124,60,19050,635,Miner
Experiment 11,225,225,45,75,93,30,37,349,68000,665,Miner
Experiment 12,750,750,150,250,109,50,16,1085,-274300,1501,Walker
Experiment 13,225,300,12,25,78,28,51,270,102150,1501,Miner
Experiment 14,75,300,45,75,106,11,50,192,125400,1501,Walker
Experiment 15,150,225,24,10,112,4,43,198,208850,745,Miner
